LandisData "Dynamic Input Data"

>> Warning - This is a bias-corrected file

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.4

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.5			2.7957

>>	year	landtype	species	probEst	maxANPP	maxB

0	414_1	ABIE.BAL	0.445	514	3140
0	414_1	ACER.RUB	0.353	224	2394
0	414_1	ACER.SAH	0.353	581	3120
0	414_1	BETU.ALL	0.379	268	2837
0	414_1	BETU.PAP	0.537	230	1765
0	414_1	FAGU.GRA	0.33	282	4223
0	414_1	LARI.LAR	0.537	169	1356
0	414_1	PICE.GLA	0.445	406	4674
0	414_1	PICE.MAR	0.353	465	4523
0	414_1	PICE.RUB	0.276	1377	7337
0	414_1	PINU.BAN	0.537	518	5118
0	414_1	PINU.RES	0.41	456	4736
0	414_1	PINU.STR	0.41	345	3566
0	414_1	POPU.TRE	0.598	380	3824
0	414_1	QUER.RUB	0.31	975	5911
0	414_1	THUJ.SPP.ALL	0.292	292	3189
0	414_1	TSUG.CAN	0.261	224	2818
0	414_2	ABIE.BAL	0.487	492	3825
0	414_2	ACER.RUB	0.445	435	3020
0	414_2	ACER.SAH	0.353	524	4514
0	414_2	BETU.ALL	0.379	411	3223
0	414_2	BETU.PAP	0.537	343	2061
0	414_2	FAGU.GRA	0.33	357	4939
0	414_2	LARI.LAR	0.537	165	1716
0	414_2	PICE.GLA	0.445	588	6344
0	414_2	PICE.MAR	0.353	538	5606
0	414_2	PICE.RUB	0.292	911	7347
0	414_2	PINU.BAN	0.537	706	5468
0	414_2	PINU.RES	0.41	495	5324
0	414_2	PINU.STR	0.41	419	4149
0	414_2	POPU.TRE	0.598	673	4355
0	414_2	QUER.RUB	0.33	594	7691
0	414_2	THUJ.SPP.ALL	0.292	295	3476
0	414_2	TSUG.CAN	0.261	242	3552
0	414_3	ABIE.BAL	0.487	517	3436
0	414_3	ACER.RUB	0.445	422	2718
0	414_3	ACER.SAH	0.33	412	4110
0	414_3	BETU.ALL	0.379	336	2972
0	414_3	BETU.PAP	0.537	268	1956
0	414_3	FAGU.GRA	0.33	283	4770
0	414_3	LARI.LAR	0.537	174	1511
0	414_3	PICE.GLA	0.445	421	5823
0	414_3	PICE.MAR	0.379	486	5049
0	414_3	PICE.RUB	0.292	1342	7093
0	414_3	PINU.BAN	0.537	603	5283
0	414_3	PINU.RES	0.445	598	4940
0	414_3	PINU.STR	0.41	377	3755
0	414_3	POPU.TRE	0.598	520	4128
0	414_3	QUER.RUB	0.33	671	6514
0	414_3	THUJ.SPP.ALL	0.292	282	3298
0	414_3	TSUG.CAN	0.261	221	3120
0	414_4	ABIE.BAL	0.487	456	3741
0	414_4	ACER.RUB	0.445	326	3027
0	414_4	ACER.SAH	0.379	436	4547
0	414_4	BETU.ALL	0.445	368	3272
0	414_4	BETU.PAP	0.537	318	2051
0	414_4	FAGU.GRA	0.33	386	5189
0	414_4	LARI.LAR	0.598	171	1635
0	414_4	PICE.GLA	0.445	514	6087
0	414_4	PICE.MAR	0.379	490	5385
0	414_4	PICE.RUB	0.31	1260	7411
0	414_4	PINU.BAN	0.598	628	5478
0	414_4	PINU.RES	0.487	556	5542
0	414_4	PINU.STR	0.41	434	4133
0	414_4	POPU.TRE	0.598	594	4251
0	414_4	QUER.RUB	0.353	585	7411
0	414_4	THUJ.SPP.ALL	0.33	301	3508
0	414_4	TSUG.CAN	0.276	248	3452
0	414_5	ABIE.BAL	0.487	568	4048
0	414_5	ACER.RUB	0.445	466	2979
0	414_5	ACER.SAH	0.33	606	4732
0	414_5	BETU.ALL	0.353	412	3179
0	414_5	BETU.PAP	0.537	358	2096
0	414_5	FAGU.GRA	0.31	369	5077
0	414_5	LARI.LAR	0.537	171	1701
0	414_5	PICE.GLA	0.445	650	6570
0	414_5	PICE.MAR	0.379	565	5890
0	414_5	PICE.RUB	0.292	897	7201
0	414_5	PINU.BAN	0.537	736	5426
0	414_5	PINU.RES	0.41	609	5357
0	414_5	PINU.STR	0.379	438	4144
